ID_YPS,SPP,GENUS,SPECIES,FAMILY,LIANA,FOREST
SRAPHEDE1,APHEDE,Aphelandra,scabra,Acanthaceae,0,Santa Rita
SRAPHEDE2,APHEDE,Aphelandra,scabra,Acanthaceae,0,Santa Rita
SRAPHEDE3,APHEDE,Aphelandra,scabra,Acanthaceae,0,Santa Rita
SRAPHEDE4,APHEDE,Aphelandra,scabra,Acanthaceae,0,Santa Rita
SRAPHEDE5,APHEDE,Aphelandra,scabra,Acanthaceae,0,Santa Rita
SRAPHEDE6,APHEDE,Aphelandra,scabra,Acanthaceae,0,Santa Rita
SRRUELFU1,RUELFU,Ruellia,fulgida,Acanthaceae,0,Santa Rita
SRRUELFU2,RUELFU,Ruellia,fulgida,Acanthaceae,0,Santa Rita
SRRUELFU3,RUELFU,Ruellia,fulgida,Acanthaceae,0,Santa Rita
SRRUELFU4,RUELFU,Ruellia,fulgida,Acanthaceae,0,Santa Rita
SRRUELFU5,RUELFU,Ruellia,fulgida,Acanthaceae,0,Santa Rita
SRRUELFU6,RUELFU,Ruellia,fulgida,Acanthaceae,0,Santa Rita
ANLINDLA1,LINDLA,Lindackeria,laurina,Achariaceae,0,ANAM
ANLINDLA2,LINDLA,Lindackeria,laurina,Achariaceae,0,ANAM
ANLINDLA3,LINDLA,Lindackeria,laurina,Achariaceae,0,ANAM
ANLINDLA4,LINDLA,Lindackeria,laurina,Achariaceae,0,ANAM
ANLINDLA5,LINDLA,Lindackeria,laurina,Achariaceae,0,ANAM
ANLINDLA6,LINDLA,Lindackeria,laurina,Achariaceae,0,ANAM
PMANACEX1,ANACEX,Anacardium,excelsum,Anacardiaceae,0,Metropolitano
PMANACEX2,ANACEX,Anacardium,excelsum,Anacardiaceae,0,Metropolitano
PMANACEX3,ANACEX,Anacardium,excelsum,Anacardiaceae,0,Metropolitano
PMANACEX4,ANACEX,Anacardium,excelsum,Anacardiaceae,0,Metropolitano
PMANACEX5,ANACEX,Anacardium,excelsum,Anacardiaceae,0,Metropolitano
PMANACEX6,ANACEX,Anacardium,excelsum,Anacardiaceae,0,Metropolitano
OLANACEX1,ANACEX,Anacardium,excelsum,Anacardiaceae,0,Oleoducto
OLANACEX2,ANACEX,Anacardium,excelsum,Anacardiaceae,0,Oleoducto
OLANACEX3,ANACEX,Anacardium,excelsum,Anacardiaceae,0,Oleoducto
OLANACEX4,ANACEX,Anacardium,excelsum,Anacardiaceae,0,Oleoducto
