ID_YPS,SPP,GENUS,SPECIES,FAMILY,LIANA,FOREST
CHFARAOC9,FARAOC,Faramea,occidentalis,Rubiaceae,0,Unknown
CHFORSVI6,FORSVI,Forsteronia,acouci,Apocynaceae,1,Unknown
CHPLAOVA7,PLEOVA,Pleonotoma,variabilis,Bignoniaceae,1,Unknown
CHFARAOC6,FARAOC,Faramea,occidentalis,Rubiaceae,0,Unknown
CHMAR2PA9,MAR2PA,Maripa,panamensis,Convolvulaceae,1,Unknown
CHPAR1PY7,PAR1PY,Tanaecium,pyramidatum,Bignoniaceae,1,Unknown
CHCUPASY10,CUPASY,Cupania,seemannii,Sapindaceae,0,Unknown
CHPLEOVA5,PLEOVA,Pleonotoma,variabilis,Bignoniaceae,1,Unknown
CHMAR2PA5,MAR2PA,Maripa,panamensis,Convolvulaceae,1,Unknown
CHPAR1PY3,PAR1PY,Tanaecium,pyramidatum,Bignoniaceae,1,Unknown
CHPIPECU6,PIPECU,Piper,colonense,Piperaceae,0,Unknown
CHPIPECU8,PIPECU,Piper,colonense,Piperaceae,0,Unknown
CHINGASA10,INGASA,Inga,sapindoides,Fabaceae,0,Unknown
CHDOLIDE5,DOLIDE,Doliocarpus,dentatus,Dilleniaceae,1,Unknown
CHINGASA9,INGASA,Inga,sapindoides,Fabaceae,0,Unknown
CHPLEOVA4,PLEOVA,Pleonotoma,variabilis,Bignoniaceae,1,Unknown
CHPIPECO6,PIPECO,Piper,cordulatum,Piperaceae,0,Unknown
CHPIPECU7,PIPECU,Piper,colonense,Piperaceae,0,Unknown
CHFORSVI7,FORSVI,Forsteronia,acouci,Apocynaceae,1,Unknown
CHALSEBL7,ALSEBL,Alseis,blackiana,Rubiaceae,0,Unknown
CHARDIPE7,ARDIPE,Ardisia,pellucida,Primulaceae,0,Unknown
CHALSEBL4,ALSEBL,Alseis,blackiana,Rubiaceae,0,Unknown
CHPIPECO5,PIPECO,Piper,cordulatum,Piperaceae,0,Unknown
CHPROTTE5,PROTTE,Protium,tenuifolium,Burseraceae,0,Unknown
CHINGASA3,INGASA,Inga,sapindoides,Fabaceae,0,Unknown
CHPAR1PY2,PAR1PY,Tanaecium,pyramidatum,Bignoniaceae,1,Unknown
CHPIPECU3,PIPECU,Piper,colonense,Piperaceae,0,Unknown
CHSWARS15,SWARS1,Swartzia,simplex,Fabaceae,0,Unknown
CHCALLLA7,CALLLA,Callichlamys,latifolia,Bignoniaceae,1,Unknown
CHCOCCP16,COCCP1,Coccoloba,excelsa,Polygonaceae,1,Unknown
CHGUSTSU8,GUSTSU,Gustavia,superba,Lecythidaceae,0,Unknown
CHSWARS16,SWARS1,Swartzia,simplex,Fabaceae,0,Unknown
CHPHRYCO5,PHRYCO,Bignonia,corymbosa,Bignoniaceae,1,Unknown
CHDOLIOL6,DOLIOL,Doliocarpus,olivaceus,Dilleniaceae,1,Unknown
CHINGASA4,INGASA,Inga,sapindoides,Fabaceae,0,Unknown
CHGUSTSU7,GUSTSU,Gustavia,superba,Lecythidaceae,0,Unknown
CHFORSVI5,FORSVI,Forsteronia,acouci,Apocynaceae,1,Unknown
CHGUARGU6,GUARGU,Guarea,guidonia,Meliaceae,0,Unknown
CHVIROSE6,VIROSE,Virola,sebifera,Myristicaceae,0,Unknown
CHALSEBL3,ALSEBL,Alseis,blackiana,Rubiaceae,0,Unknown
CHPROTTE7,PROTTE,Protium,tenuifolium,Burseraceae,0,Unknown
CHLACIAG7,LACIAG,Lacistema,aggregatum,Lacistemataceae,0,Unknown
CHGUARGU4,GUARGU,Guarea,guidonia,Meliaceae,0,Unknown
CHRINOSY8,RINOSY,Rinorea,silvatica,Violaceae,0,Unknown
CHLACIAG6,LACIAG,Lacistema,aggregatum,Lacistemataceae,0,Unknown
CHRINOSY3,RINOSY,Rinorea,silvatica,Violaceae,0,Unknown
CHDOLIOL7,DOLIOL,Doliocarpus,olivaceus,Dilleniaceae,1,Unknown
CHPHRYCO6,PHRYCO,Bignonia,corymbosa,Bignoniaceae,1,Unknown
CHTROPRA7,TROPRA,Trophis,racemosa,Moraceae,0,Unknown
CHDOLIMA6,DOLIMA,Doliocarpus,major,Dilleniaceae,1,Unknown
CHGUARGU5,GUARGU,Guarea,guidonia,Meliaceae,0,Unknown
CHDOLIDE8,DOLIDE,Doliocarpus,dentatus,Dilleniaceae,1,Unknown
CHFARAOC5,FARAOC,Faramea,occidentalis,Rubiaceae,0,Unknown
CHPAR1PY1,PAR1PY,Tanaecium,pyramidatum,Bignoniaceae,1,Unknown
