observation_id,photo_id,photo_index,username,observed_on,quality_grade,notes_code_clean2,scientific_name_final2,spp6_fixed,spp6_official,spp6_fix_status,current_order,accepted_family,accepted_name,synonyms,accepted_name_author,habit,genus,species
300800592,542002068,1,mariagallegos,7/24/25,needs_id,CHFARAOC9,Faramea occidentalis,FARAOC,FARAOC,ok_code_match,Gentianales,Rubiaceae,Faramea occidentalis,NA,(L.) A.Rich.,Freestanding,Faramea,occidentalis
300800592,542002108,2,mariagallegos,7/24/25,needs_id,CHFARAOC9,Faramea occidentalis,FARAOC,FARAOC,ok_code_match,Gentianales,Rubiaceae,Faramea occidentalis,NA,(L.) A.Rich.,Freestanding,Faramea,occidentalis
300800592,542002150,3,mariagallegos,7/24/25,needs_id,CHFARAOC9,Faramea occidentalis,FARAOC,FARAOC,ok_code_match,Gentianales,Rubiaceae,Faramea occidentalis,NA,(L.) A.Rich.,Freestanding,Faramea,occidentalis
300800592,542002170,4,mariagallegos,7/24/25,needs_id,CHFARAOC9,Faramea occidentalis,FARAOC,FARAOC,ok_code_match,Gentianales,Rubiaceae,Faramea occidentalis,NA,(L.) A.Rich.,Freestanding,Faramea,occidentalis
300800592,542002185,5,mariagallegos,7/24/25,needs_id,CHFARAOC9,Faramea occidentalis,FARAOC,FARAOC,ok_code_match,Gentianales,Rubiaceae,Faramea occidentalis,NA,(L.) A.Rich.,Freestanding,Faramea,occidentalis
300800592,542002197,6,mariagallegos,7/24/25,needs_id,CHFARAOC9,Faramea occidentalis,FARAOC,FARAOC,ok_code_match,Gentianales,Rubiaceae,Faramea occidentalis,NA,(L.) A.Rich.,Freestanding,Faramea,occidentalis
300800517,542001921,1,mariagallegos,7/24/25,needs_id,CHFORSVI6,Forsteronia viridescens,FORSVI,FORSVI,ok_code_match,Gentianales,Apocynaceae,Forsteronia acouci,Forsteronia viridescens,(Aubl.) A.DC.,Climbing,Forsteronia,acouci
300800517,542001945,2,mariagallegos,7/24/25,needs_id,CHFORSVI6,Forsteronia viridescens,FORSVI,FORSVI,ok_code_match,Gentianales,Apocynaceae,Forsteronia acouci,Forsteronia viridescens,(Aubl.) A.DC.,Climbing,Forsteronia,acouci
300800517,542001965,3,mariagallegos,7/24/25,needs_id,CHFORSVI6,Forsteronia viridescens,FORSVI,FORSVI,ok_code_match,Gentianales,Apocynaceae,Forsteronia acouci,Forsteronia viridescens,(Aubl.) A.DC.,Climbing,Forsteronia,acouci
300800517,542001992,4,mariagallegos,7/24/25,needs_id,CHFORSVI6,Forsteronia viridescens,FORSVI,FORSVI,ok_code_match,Gentianales,Apocynaceae,Forsteronia acouci,Forsteronia viridescens,(Aubl.) A.DC.,Climbing,Forsteronia,acouci
300800517,542002015,5,mariagallegos,7/24/25,needs_id,CHFORSVI6,Forsteronia viridescens,FORSVI,FORSVI,ok_code_match,Gentianales,Apocynaceae,Forsteronia acouci,Forsteronia viridescens,(Aubl.) A.DC.,Climbing,Forsteronia,acouci
300800517,542002035,6,mariagallegos,7/24/25,needs_id,CHFORSVI6,Forsteronia viridescens,FORSVI,FORSVI,ok_code_match,Gentianales,Apocynaceae,Forsteronia acouci,Forsteronia viridescens,(Aubl.) A.DC.,Climbing,Forsteronia,acouci
300800445,542001772,1,mariagallegos,7/24/25,needs_id,CHPLAOVA7,Pleonotoma variabilis,PLEOVA,PLEOVA,ok_code_match,Lamiales,Bignoniaceae,Pleonotoma variabilis,NA,(Jacq.) Miers,Climbing,Pleonotoma,variabilis
300800445,542001797,2,mariagallegos,7/24/25,needs_id,CHPLAOVA7,Pleonotoma variabilis,PLEOVA,PLEOVA,ok_code_match,Lamiales,Bignoniaceae,Pleonotoma variabilis,NA,(Jacq.) Miers,Climbing,Pleonotoma,variabilis
300800445,542001822,3,mariagallegos,7/24/25,needs_id,CHPLAOVA7,Pleonotoma variabilis,PLEOVA,PLEOVA,ok_code_match,Lamiales,Bignoniaceae,Pleonotoma variabilis,NA,(Jacq.) Miers,Climbing,Pleonotoma,variabilis
300800445,542001850,4,mariagallegos,7/24/25,needs_id,CHPLAOVA7,Pleonotoma variabilis,PLEOVA,PLEOVA,ok_code_match,Lamiales,Bignoniaceae,Pleonotoma variabilis,NA,(Jacq.) Miers,Climbing,Pleonotoma,variabilis
300800445,542001873,5,mariagallegos,7/24/25,needs_id,CHPLAOVA7,Pleonotoma variabilis,PLEOVA,PLEOVA,ok_code_match,Lamiales,Bignoniaceae,Pleonotoma variabilis,NA,(Jacq.) Miers,Climbing,Pleonotoma,variabilis
300800445,542001889,6,mariagallegos,7/24/25,needs_id,CHPLAOVA7,Pleonotoma variabilis,PLEOVA,PLEOVA,ok_code_match,Lamiales,Bignoniaceae,Pleonotoma variabilis,NA,(Jacq.) Miers,Climbing,Pleonotoma,variabilis
300800392,542001665,1,mariagallegos,7/24/25,needs_id,CHFARAOC6,Faramea occidentalis,FARAOC,FARAOC,ok_code_match,Gentianales,Rubiaceae,Faramea occidentalis,NA,(L.) A.Rich.,Freestanding,Faramea,occidentalis
300800392,542001683,2,mariagallegos,7/24/25,needs_id,CHFARAOC6,Faramea occidentalis,FARAOC,FARAOC,ok_code_match,Gentianales,Rubiaceae,Faramea occidentalis,NA,(L.) A.Rich.,Freestanding,Faramea,occidentalis
300800392,542001704,3,mariagallegos,7/24/25,needs_id,CHFARAOC6,Faramea occidentalis,FARAOC,FARAOC,ok_code_match,Gentianales,Rubiaceae,Faramea occidentalis,NA,(L.) A.Rich.,Freestanding,Faramea,occidentalis
300800392,542001719,4,mariagallegos,7/24/25,needs_id,CHFARAOC6,Faramea occidentalis,FARAOC,FARAOC,ok_code_match,Gentianales,Rubiaceae,Faramea occidentalis,NA,(L.) A.Rich.,Freestanding,Faramea,occidentalis
300800392,542001735,5,mariagallegos,7/24/25,needs_id,CHFARAOC6,Faramea occidentalis,FARAOC,FARAOC,ok_code_match,Gentianales,Rubiaceae,Faramea occidentalis,NA,(L.) A.Rich.,Freestanding,Faramea,occidentalis
300800316,542001547,1,mariagallegos,7/24/25,needs_id,CHMAR2PA9,Maripa panamensis,MAR2PA,MAR2PA,ok_code_match,Solanales,Convolvulaceae,Maripa panamensis,NA,Hemsl.,Climbing,Maripa,panamensis
300800316,542001572,2,mariagallegos,7/24/25,needs_id,CHMAR2PA9,Maripa panamensis,MAR2PA,MAR2PA,ok_code_match,Solanales,Convolvulaceae,Maripa panamensis,NA,Hemsl.,Climbing,Maripa,panamensis
300800316,542001590,3,mariagallegos,7/24/25,needs_id,CHMAR2PA9,Maripa panamensis,MAR2PA,MAR2PA,ok_code_match,Solanales,Convolvulaceae,Maripa panamensis,NA,Hemsl.,Climbing,Maripa,panamensis
300800316,542001609,4,mariagallegos,7/24/25,needs_id,CHMAR2PA9,Maripa panamensis,MAR2PA,MAR2PA,ok_code_match,Solanales,Convolvulaceae,Maripa panamensis,NA,Hemsl.,Climbing,Maripa,panamensis
300800316,542001632,5,mariagallegos,7/24/25,needs_id,CHMAR2PA9,Maripa panamensis,MAR2PA,MAR2PA,ok_code_match,Solanales,Convolvulaceae,Maripa panamensis,NA,Hemsl.,Climbing,Maripa,panamensis
300800316,542001642,6,mariagallegos,7/24/25,needs_id,CHMAR2PA9,Maripa panamensis,MAR2PA,MAR2PA,ok_code_match,Solanales,Convolvulaceae,Maripa panamensis,NA,Hemsl.,Climbing,Maripa,panamensis
300800268,542001434,1,mariagallegos,7/24/25,needs_id,CHPAR1PY7,Paragonia pyramidata,PAR1PY,PAR3PY,fixed_by_name_or_synonym,Lamiales,Bignoniaceae,Tanaecium pyramidatum,Paragonia pyramidata,(Rich.) L.G.Lohmann,Climbing,Tanaecium,pyramidatum
300800268,542001446,2,mariagallegos,7/24/25,needs_id,CHPAR1PY7,Paragonia pyramidata,PAR1PY,PAR3PY,fixed_by_name_or_synonym,Lamiales,Bignoniaceae,Tanaecium pyramidatum,Paragonia pyramidata,(Rich.) L.G.Lohmann,Climbing,Tanaecium,pyramidatum
300800268,542001484,3,mariagallegos,7/24/25,needs_id,CHPAR1PY7,Paragonia pyramidata,PAR1PY,PAR3PY,fixed_by_name_or_synonym,Lamiales,Bignoniaceae,Tanaecium pyramidatum,Paragonia pyramidata,(Rich.) L.G.Lohmann,Climbing,Tanaecium,pyramidatum
