"family","n"
"Rubiaceae",1098
"Dilleniaceae",830
"Fabaceae",664
"Burseraceae",641
"Bignoniaceae",620
"Myrtaceae",482
"Moraceae",433
"Celastraceae",417
"Violaceae",368
"Convolvulaceae",360
"Melastomataceae",307
"Connaraceae",306
"Lacistemataceae",263
"Piperaceae",257
"Sapindaceae",238
"Lecythidaceae",210
"Annonaceae",209
"Capparaceae",195
"Sapotaceae",187
"Polygonaceae",184
"Myristicaceae",180
"Clusiaceae",153
"Malpighiaceae",149
"Chrysobalanaceae",133
"Olacaceae",129
"Lauraceae",123
"Apocynaceae",119
"Ochnaceae",88
"Euphorbiaceae",87
"Anacardiaceae",83
"Meliaceae",78
"Acanthaceae",60
"Dichapetalaceae",60
"Peraceae",60
"Calophyllaceae",59
"Vochysiaceae",55
"Verbenaceae",50
"Primulaceae",48
"Menispermaceae",46
"Achariaceae",30
"Boraginaceae",30
"Elaeocarpaceae",30
"Gentianaceae",30
"Picramniaceae",30
"Proteaceae",30
"Rhizophoraceae",30
"Salicaceae",30
"Smilacaceae",30
"Siparunaceae",29
"Urticaceae",29
"Combretaceae",25
"Loganiaceae",25
