"family","individuals","images"
"Rubiaceae",224,1098
"Dilleniaceae",171,830
"Fabaceae",134,664
"Burseraceae",130,641
"Bignoniaceae",127,620
"Myrtaceae",98,482
"Moraceae",88,433
"Celastraceae",84,417
"Violaceae",76,368
"Convolvulaceae",73,360
"Melastomataceae",63,307
"Connaraceae",62,306
"Lacistemataceae",53,263
"Piperaceae",52,257
"Sapindaceae",48,238
"Lecythidaceae",43,210
"Annonaceae",42,209
"Capparaceae",40,195
"Sapotaceae",38,187
"Myristicaceae",36,180
"Polygonaceae",35,184
"Clusiaceae",30,153
"Malpighiaceae",30,149
"Chrysobalanaceae",27,133
"Olacaceae",26,129
"Lauraceae",25,123
"Apocynaceae",24,119
"Euphorbiaceae",18,87
"Ochnaceae",18,88
"Anacardiaceae",17,83
"Meliaceae",16,78
"Acanthaceae",12,60
"Calophyllaceae",12,59
"Dichapetalaceae",12,60
"Peraceae",12,60
"Vochysiaceae",11,55
"Primulaceae",10,48
"Verbenaceae",10,50
"Menispermaceae",9,46
"Achariaceae",6,30
"Boraginaceae",6,30
"Elaeocarpaceae",6,30
"Gentianaceae",6,30
"Picramniaceae",6,30
"Proteaceae",6,30
"Rhizophoraceae",6,30
"Salicaceae",6,30
"Siparunaceae",6,29
"Smilacaceae",6,30
"Urticaceae",6,29
"Combretaceae",5,25
"Loganiaceae",5,25
