trait,prompt,model_vs_roni_rate,model_vs_roni_kappa,model_vs_roni_n,model_vs_carmen_rate,model_vs_carmen_kappa,model_vs_carmen_n,roni_vs_carmen_rate,roni_vs_carmen_kappa,roni_vs_carmen_n,model_vs_stri_rate,model_vs_stri_kappa,model_vs_stri_n,roni_vs_stri_rate,roni_vs_stri_kappa,roni_vs_stri_n,carmen_vs_stri_rate,carmen_vs_stri_kappa,carmen_vs_stri_n
compound_leaf_type,"Compound leaf type, ONLY if leaf complexity is compound (odd-pinnate / even-pinnate) graded options: odd-pinnate, even-pinnate, bipinnate, trifoliate, palmate",0.71,-0.05,17,0.5,-0.06,16,0.86,0.67,21,,,,,,,,,
damage,"not a sys4 prompt item graded options: present, absent",,,,,,,0.83,0.52,114,,,,,,,,,
latex,"Latex, rarely visible but extremely diagnostic when present (present / not observed) graded options: present, absent",,,,,,,,,,,,,,,,0.5,0.0,2
leaf_apex,"Leaf apex (acute, obtuse, acuminate) graded options: acute, obtuse, acuminate, rounded, emarginate, mucronate",0.4,-0.06,114,0.46,0.02,114,0.58,0.2,114,,,,,,,,,
leaf_base,"Leaf base (rounded, cordate, cuneate) graded options: cuneate, rounded, cordate, attenuate, oblique, truncate",0.49,0.15,111,0.4,-0.03,113,0.75,0.48,110,,,,,,,,,
leaf_complexity_type,"Leaf complexity (simple / compound) graded options: simple, compound",0.92,0.74,112,0.89,0.65,114,0.96,0.88,112,0.92,0.62,73,0.97,0.87,73,0.92,0.58,73
leaf_margin,"Leaf margin (entire / toothed) AND if toothed (dentate, serrate, etc.) graded options: entire, toothed, lobed",0.84,0.0,97,0.91,0.0,94,0.92,0.79,106,0.97,0.0,65,0.92,0.23,72,0.93,0.28,67
leaf_relative_position,"Leaf relative position (alternate / opposite / whorled) graded options: alternate, opposite, whorled",0.34,0.06,110,0.4,0.17,113,0.76,0.58,110,0.36,0.04,75,0.96,0.9,74,0.71,0.45,75
leaf_shape,"Leaf shape (elliptic, obovate, lanceolate, etc.) graded options: elliptic, obovate, ovate, lanceolate, oblanceolate, oblong, orbicular, other",0.59,0.34,112,0.6,0.33,112,0.44,0.16,113,,,,,,,,,
leaf_spacing,"Leaf spacing (clustered / distal) graded options: clustered, distal, evenly_spaced",0.56,0.16,107,0.5,0.14,112,0.79,0.54,106,,,,,,,,,
leaf_trichomes,"Leaf surface trichomes (present / absent) graded options: present, absent",0.94,0.42,90,0.98,0.66,112,0.93,0.22,90,,,,,,,,,
leaflet_arrangement,"Leaflet arrangement (opposite / alternate / subopposite) graded options: opposite, alternate, subopposite",0.24,-0.09,17,0.31,-0.04,16,0.95,0.83,21,,,,,,,,,
petiole_features,"Petiole features (winged / grooved / terete) graded options: winged, grooved, terete, pulvinate",0.88,0.0,86,0.89,0.0,100,0.93,0.67,84,,,,,,,,,
petiole_length,"Petiole length (short / long) graded options: short, medium, long, sessile",0.75,0.16,111,0.62,0.09,108,0.85,0.68,105,,,,,,,,,
pulvinus,"Pulvinus, for Fabaceae family only (present / absent) graded options: present, absent",0.55,0.0,77,0.85,0.0,100,0.76,0.48,71,,,,,,,,,
stem_texture,"Stem texture (smooth / ridged / lenticellate) graded options: smooth, ridged, lenticellate",0.67,-0.08,66,0.75,0.03,106,0.81,0.33,63,,,,,,,,,
stem_trichomes,"Stem trichomes (present / absent) graded options: present, absent",0.84,0.23,62,0.91,0.26,100,0.87,0.39,55,,,,,,,,,
stem_type,"Stem type, may not be visible (woody / herbaceous) graded options: woody, herbaceous",0.61,0.0,109,0.62,0.3,112,0.32,0.0,109,,,,,,,,,
stipules,"Stipules, sometimes visible only in close-up images (present / absent) graded options: present, absent",0.65,0.0,66,0.45,0.0,101,0.53,0.18,62,0.59,0.0,75,0.89,0.74,46,0.58,0.04,67
tendrils,"Tendrils (present / absent) graded options: present, absent",0.98,0.0,100,0.96,-0.02,114,0.98,0.0,100,,,,,,,,,
venation,"Venation type (pinnate / palmate / parallel) graded options: pinnate, palmate, parallel, arcuate",0.94,-0.01,108,0.98,-0.0,113,0.96,0.32,108,,,,,,,,,
