anonymous_id,family,genus,species,individual_code,image_count,original_individual_folder
individual_001,Acanthaceae,Aphelandra,scabra,SRAPHEDE2,5,2026_data/sorted_12K/training/by_family/Acanthaceae/by_genus/Aphelandra/by_species/scabra/SRAPHEDE2
individual_002,Acanthaceae,Ruellia,fulgida,SRRUELFU3,5,2026_data/sorted_12K/training/by_family/Acanthaceae/by_genus/Ruellia/by_species/fulgida/SRRUELFU3
individual_003,Achariaceae,Lindackeria,laurina,ANLINDLA8,4,2026_data/sorted_12K/training/by_family/Achariaceae/by_genus/Lindackeria/by_species/laurina/ANLINDLA8
individual_004,Anacardiaceae,Anacardium,excelsum,OLANACEX4,5,2026_data/sorted_12K/training/by_family/Anacardiaceae/by_genus/Anacardium/by_species/excelsum/OLANACEX4
individual_005,Anacardiaceae,Tapirira,guianensis,SHTAPIGU7,5,2026_data/sorted_12K/training/by_family/Anacardiaceae/by_genus/Tapirira/by_species/guianensis/SHTAPIGU7
individual_006,Annonaceae,Anaxagorea,allenii,SRANAXAL1,5,2026_data/sorted_12K/training/by_family/Annonaceae/by_genus/Anaxagorea/by_species/allenii/SRANAXAL1
individual_007,Annonaceae,Annona,hayesii,CHANNOHA10,5,2026_data/sorted_12K/training/by_family/Annonaceae/by_genus/Annona/by_species/hayesii/CHANNOHA10
individual_008,Annonaceae,Cremastosperma,panamense,SHCREMPA5,5,2026_data/sorted_12K/training/by_family/Annonaceae/by_genus/Cremastosperma/by_species/panamense/SHCREMPA5
individual_009,Annonaceae,Desmopsis,panamensis,PEA0147,5,2026_data/sorted_12K/training/by_family/Annonaceae/by_genus/Desmopsis/by_species/panamensis/PEA0147
individual_010,Annonaceae,Guatteria,amplifolia,BVGUATAM5,6,2026_data/sorted_12K/training/by_family/Annonaceae/by_genus/Guatteria/by_species/amplifolia/BVGUATAM5
individual_011,Annonaceae,Oxandra,longipetala,OLOXANLO5,5,2026_data/sorted_12K/training/by_family/Annonaceae/by_genus/Oxandra/by_species/longipetala/OLOXANLO5
individual_012,Apocynaceae,Aspidosperma,desmanthum,SHASPICR4,5,2026_data/sorted_12K/training/by_family/Apocynaceae/by_genus/Aspidosperma/by_species/desmanthum/SHASPICR4
individual_013,Apocynaceae,Forsteronia,acouci,CHFORSVI6,5,2026_data/sorted_12K/training/by_family/Apocynaceae/by_genus/Forsteronia/by_species/acouci/CHFORSVI6
individual_014,Apocynaceae,Tabernaemontana,undulata,SRTAB2UN5,5,2026_data/sorted_12K/training/by_family/Apocynaceae/by_genus/Tabernaemontana/by_species/undulata/SRTAB2UN5
individual_015,Bignoniaceae,Bignonia,corymbosa,CHPHRYCO10,5,2026_data/sorted_12K/training/by_family/Bignoniaceae/by_genus/Bignonia/by_species/corymbosa/CHPHRYCO10
individual_016,Bignoniaceae,Callichlamys,latifolia,PPCALLLA6,5,2026_data/sorted_12K/training/by_family/Bignoniaceae/by_genus/Callichlamys/by_species/latifolia/PPCALLLA6
individual_017,Bignoniaceae,Pachyptera,kerere,BVMANSKE10,5,2026_data/sorted_12K/training/by_family/Bignoniaceae/by_genus/Pachyptera/by_species/kerere/BVMANSKE10
individual_018,Bignoniaceae,Pleonotoma,variabilis,ANPLEOVA1,5,2026_data/sorted_12K/training/by_family/Bignoniaceae/by_genus/Pleonotoma/by_species/variabilis/ANPLEOVA1
individual_019,Bignoniaceae,Stizophyllum,riparium,OLSTIZRI3,5,2026_data/sorted_12K/training/by_family/Bignoniaceae/by_genus/Stizophyllum/by_species/riparium/OLSTIZRI3
individual_020,Bignoniaceae,Tanaecium,pyramidatum,CHPAR1PY2,5,2026_data/sorted_12K/training/by_family/Bignoniaceae/by_genus/Tanaecium/by_species/pyramidatum/CHPAR1PY2
individual_021,Bignoniaceae,Tynanthus,croatianus,METYNACR4,5,2026_data/sorted_12K/training/by_family/Bignoniaceae/by_genus/Tynanthus/by_species/croatianus/METYNACR4
individual_022,Boraginaceae,Cordia,bicolor,SHCORDBI3,5,2026_data/sorted_12K/training/by_family/Boraginaceae/by_genus/Cordia/by_species/bicolor/SHCORDBI3
individual_023,Burseraceae,Protium,stevensonii,BAR0010,5,2026_data/sorted_12K/training/by_family/Burseraceae/by_genus/Protium/by_species/stevensonii/BAR0010
individual_024,Calophyllaceae,Calophyllum,longifolium,SHCALOLO10,4,2026_data/sorted_12K/training/by_family/Calophyllaceae/by_genus/Calophyllum/by_species/longifolium/SHCALOLO10
individual_025,Capparaceae,Morisonia,frondosa,BAR0018,5,2026_data/sorted_12K/training/by_family/Capparaceae/by_genus/Morisonia/by_species/frondosa/BAR0018
individual_026,Celastraceae,Hippocratea,volubilis,OLHIPPVO7,5,2026_data/sorted_12K/training/by_family/Celastraceae/by_genus/Hippocratea/by_species/volubilis/OLHIPPVO7
individual_027,Celastraceae,Hylenaea,praecelsa,BAR0482,5,2026_data/sorted_12K/training/by_family/Celastraceae/by_genus/Hylenaea/by_species/praecelsa/BAR0482
individual_028,Celastraceae,Maytenus,schippii,BVMAYTSC9,5,2026_data/sorted_12K/training/by_family/Celastraceae/by_genus/Maytenus/by_species/schippii/BVMAYTSC9
individual_029,Celastraceae,Peritassa,pruinosa,MEPERIPR9,5,2026_data/sorted_12K/training/by_family/Celastraceae/by_genus/Peritassa/by_species/pruinosa/MEPERIPR9
individual_030,Celastraceae,Prionostemma,aspera,BAR0305,5,2026_data/sorted_12K/training/by_family/Celastraceae/by_genus/Prionostemma/by_species/aspera/BAR0305
individual_031,Celastraceae,Tontelea,passiflora,SHTONTOV3,5,2026_data/sorted_12K/training/by_family/Celastraceae/by_genus/Tontelea/by_species/passiflora/SHTONTOV3
individual_032,Chrysobalanaceae,Hirtella,racemosa,ANHIRTRA4,5,2026_data/sorted_12K/training/by_family/Chrysobalanaceae/by_genus/Hirtella/by_species/racemosa/ANHIRTRA4
individual_033,Chrysobalanaceae,Licania,hypoleuca,SRLICAHY3,5,2026_data/sorted_12K/training/by_family/Chrysobalanaceae/by_genus/Licania/by_species/hypoleuca/SRLICAHY3
individual_034,Clusiaceae,Symphonia,globulifera,SRSYMPGL2,5,2026_data/sorted_12K/training/by_family/Clusiaceae/by_genus/Symphonia/by_species/globulifera/SRSYMPGL2
individual_035,Clusiaceae,Tovomita,stylosa,SHTOVOST2,5,2026_data/sorted_12K/training/by_family/Clusiaceae/by_genus/Tovomita/by_species/stylosa/SHTOVOST2
individual_036,Combretaceae,Terminalia,oblonga,PPTERMOB5,5,2026_data/sorted_12K/training/by_family/Combretaceae/by_genus/Terminalia/by_species/oblonga/PPTERMOB5
individual_037,Connaraceae,Cnestidium,rufescens,MECNESRU4,5,2026_data/sorted_12K/training/by_family/Connaraceae/by_genus/Cnestidium/by_species/rufescens/MECNESRU4
individual_038,Connaraceae,Connarus,panamensis,ANCONNPA5,5,2026_data/sorted_12K/training/by_family/Connaraceae/by_genus/Connarus/by_species/panamensis/ANCONNPA5
individual_039,Convolvulaceae,Maripa,panamensis,PEA0224,5,2026_data/sorted_12K/training/by_family/Convolvulaceae/by_genus/Maripa/by_species/panamensis/PEA0224
individual_040,Dichapetalaceae,Dichapetalum,gentryi,OLDICHGE2,5,2026_data/sorted_12K/training/by_family/Dichapetalaceae/by_genus/Dichapetalum/by_species/gentryi/OLDICHGE2
individual_041,Dilleniaceae,Doliocarpus,olivaceus,PEA0166,4,2026_data/sorted_12K/training/by_family/Dilleniaceae/by_genus/Doliocarpus/by_species/olivaceus/PEA0166
individual_042,Dilleniaceae,Tetracera,portobellensis,BVTET1PO6,5,2026_data/sorted_12K/training/by_family/Dilleniaceae/by_genus/Tetracera/by_species/portobellensis/BVTET1PO6
individual_043,Elaeocarpaceae,Sloanea,obtusifolia,SRSLOAOB3,5,2026_data/sorted_12K/training/by_family/Elaeocarpaceae/by_genus/Sloanea/by_species/obtusifolia/SRSLOAOB3
individual_044,Euphorbiaceae,Acalypha,diversifolia,PEA0208,5,2026_data/sorted_12K/training/by_family/Euphorbiaceae/by_genus/Acalypha/by_species/diversifolia/PEA0208
individual_045,Euphorbiaceae,Croton,billbergianus,OLCROTBI2,5,2026_data/sorted_12K/training/by_family/Euphorbiaceae/by_genus/Croton/by_species/billbergianus/OLCROTBI2
individual_046,Euphorbiaceae,Maprounea,guianensis,ANMAPRGU4,5,2026_data/sorted_12K/training/by_family/Euphorbiaceae/by_genus/Maprounea/by_species/guianensis/ANMAPRGU4
individual_047,Fabaceae,Cojoba,rufescens,PPPIT1RU4,5,2026_data/sorted_12K/training/by_family/Fabaceae/by_genus/Cojoba/by_species/rufescens/PPPIT1RU4
individual_048,Fabaceae,Inga,sapindoides,CHINGASA4,6,2026_data/sorted_12K/training/by_family/Fabaceae/by_genus/Inga/by_species/sapindoides/CHINGASA4
individual_049,Fabaceae,Lonchocarpus,atropurpureus,SRLONCAT1,5,2026_data/sorted_12K/training/by_family/Fabaceae/by_genus/Lonchocarpus/by_species/atropurpureus/SRLONCAT1
individual_050,Fabaceae,Machaerium,milleflorum,MEMACHM29,5,2026_data/sorted_12K/training/by_family/Fabaceae/by_genus/Machaerium/by_species/milleflorum/MEMACHM29
individual_051,Fabaceae,Robrichia,schomburgkii,ANENTESC3,5,2026_data/sorted_12K/training/by_family/Fabaceae/by_genus/Robrichia/by_species/schomburgkii/ANENTESC3
individual_052,Fabaceae,Senegalia,hayesii,BAR0350,5,2026_data/sorted_12K/training/by_family/Fabaceae/by_genus/Senegalia/by_species/hayesii/BAR0350
individual_053,Fabaceae,Swartzia,simplex,CHSWARS13,5,2026_data/sorted_12K/training/by_family/Fabaceae/by_genus/Swartzia/by_species/simplex/CHSWARS13
individual_054,Fabaceae,Tachigali,panamensis,SHTACHVE3,5,2026_data/sorted_12K/training/by_family/Fabaceae/by_genus/Tachigali/by_species/panamensis/SHTACHVE3
individual_055,Gentianaceae,Lisianthius,jefensis,SRLISIJE1,5,2026_data/sorted_12K/training/by_family/Gentianaceae/by_genus/Lisianthius/by_species/jefensis/SRLISIJE1
individual_056,Lacistemataceae,Lacistema,aggregatum,OLLACIAG2,5,2026_data/sorted_12K/training/by_family/Lacistemataceae/by_genus/Lacistema/by_species/aggregatum/OLLACIAG2
individual_057,Lauraceae,Beilschmiedia,tovarensis,SHBELIPE5,4,2026_data/sorted_12K/training/by_family/Lauraceae/by_genus/Beilschmiedia/by_species/tovarensis/SHBELIPE5
individual_058,Lauraceae,Damburneya,purpurea,SHNECTPU10,5,2026_data/sorted_12K/training/by_family/Lauraceae/by_genus/Damburneya/by_species/purpurea/SHNECTPU10
individual_059,Lauraceae,Nectandra,cuspidata,ANNECTCU4,5,2026_data/sorted_12K/training/by_family/Lauraceae/by_genus/Nectandra/by_species/cuspidata/ANNECTCU4
individual_060,Lecythidaceae,Gustavia,superba,BAR0090,5,2026_data/sorted_12K/training/by_family/Lecythidaceae/by_genus/Gustavia/by_species/superba/BAR0090
individual_061,Loganiaceae,Strychnos,panamensis,PPSTRYPA8,5,2026_data/sorted_12K/training/by_family/Loganiaceae/by_genus/Strychnos/by_species/panamensis/PPSTRYPA8
individual_062,Malpighiaceae,Bronwenia,cornifolia,SRBANICO6,5,2026_data/sorted_12K/training/by_family/Malpighiaceae/by_genus/Bronwenia/by_species/cornifolia/SRBANICO6
