anonymous_id,view_id,blinded_image,original_image_file,original_eval_path,original_source_path
individual_001,view_01,2026_data/blind_human_annotation_set/images/individual_001/view_01.jpg,Acanthaceae_Aphelandra_scabra_SRAPHEDE2_001.jpg,2026_data/human_annotated_eval_set/by_family/Acanthaceae/by_genus/Aphelandra/by_species/scabra/SRAPHEDE2/Acanthaceae_Aphelandra_scabra_SRAPHEDE2_001.jpg,2026_data/sorted_12K/training/by_family/Acanthaceae/by_genus/Aphelandra/by_species/scabra/SRAPHEDE2/Acanthaceae_Aphelandra_scabra_SRAPHEDE2_001.jpg
individual_001,view_02,2026_data/blind_human_annotation_set/images/individual_001/view_02.jpg,Acanthaceae_Aphelandra_scabra_SRAPHEDE2_002.jpg,2026_data/human_annotated_eval_set/by_family/Acanthaceae/by_genus/Aphelandra/by_species/scabra/SRAPHEDE2/Acanthaceae_Aphelandra_scabra_SRAPHEDE2_002.jpg,2026_data/sorted_12K/training/by_family/Acanthaceae/by_genus/Aphelandra/by_species/scabra/SRAPHEDE2/Acanthaceae_Aphelandra_scabra_SRAPHEDE2_002.jpg
individual_001,view_03,2026_data/blind_human_annotation_set/images/individual_001/view_03.jpg,Acanthaceae_Aphelandra_scabra_SRAPHEDE2_003.jpg,2026_data/human_annotated_eval_set/by_family/Acanthaceae/by_genus/Aphelandra/by_species/scabra/SRAPHEDE2/Acanthaceae_Aphelandra_scabra_SRAPHEDE2_003.jpg,2026_data/sorted_12K/training/by_family/Acanthaceae/by_genus/Aphelandra/by_species/scabra/SRAPHEDE2/Acanthaceae_Aphelandra_scabra_SRAPHEDE2_003.jpg
individual_001,view_04,2026_data/blind_human_annotation_set/images/individual_001/view_04.jpg,Acanthaceae_Aphelandra_scabra_SRAPHEDE2_004.jpg,2026_data/human_annotated_eval_set/by_family/Acanthaceae/by_genus/Aphelandra/by_species/scabra/SRAPHEDE2/Acanthaceae_Aphelandra_scabra_SRAPHEDE2_004.jpg,2026_data/sorted_12K/training/by_family/Acanthaceae/by_genus/Aphelandra/by_species/scabra/SRAPHEDE2/Acanthaceae_Aphelandra_scabra_SRAPHEDE2_004.jpg
individual_001,view_05,2026_data/blind_human_annotation_set/images/individual_001/view_05.jpg,Acanthaceae_Aphelandra_scabra_SRAPHEDE2_005.jpg,2026_data/human_annotated_eval_set/by_family/Acanthaceae/by_genus/Aphelandra/by_species/scabra/SRAPHEDE2/Acanthaceae_Aphelandra_scabra_SRAPHEDE2_005.jpg,2026_data/sorted_12K/training/by_family/Acanthaceae/by_genus/Aphelandra/by_species/scabra/SRAPHEDE2/Acanthaceae_Aphelandra_scabra_SRAPHEDE2_005.jpg
individual_002,view_01,2026_data/blind_human_annotation_set/images/individual_002/view_01.jpg,Acanthaceae_Ruellia_fulgida_SRRUELFU3_001.jpg,2026_data/human_annotated_eval_set/by_family/Acanthaceae/by_genus/Ruellia/by_species/fulgida/SRRUELFU3/Acanthaceae_Ruellia_fulgida_SRRUELFU3_001.jpg,2026_data/sorted_12K/training/by_family/Acanthaceae/by_genus/Ruellia/by_species/fulgida/SRRUELFU3/Acanthaceae_Ruellia_fulgida_SRRUELFU3_001.jpg
individual_002,view_02,2026_data/blind_human_annotation_set/images/individual_002/view_02.jpg,Acanthaceae_Ruellia_fulgida_SRRUELFU3_002.jpg,2026_data/human_annotated_eval_set/by_family/Acanthaceae/by_genus/Ruellia/by_species/fulgida/SRRUELFU3/Acanthaceae_Ruellia_fulgida_SRRUELFU3_002.jpg,2026_data/sorted_12K/training/by_family/Acanthaceae/by_genus/Ruellia/by_species/fulgida/SRRUELFU3/Acanthaceae_Ruellia_fulgida_SRRUELFU3_002.jpg
individual_002,view_03,2026_data/blind_human_annotation_set/images/individual_002/view_03.jpg,Acanthaceae_Ruellia_fulgida_SRRUELFU3_003.jpg,2026_data/human_annotated_eval_set/by_family/Acanthaceae/by_genus/Ruellia/by_species/fulgida/SRRUELFU3/Acanthaceae_Ruellia_fulgida_SRRUELFU3_003.jpg,2026_data/sorted_12K/training/by_family/Acanthaceae/by_genus/Ruellia/by_species/fulgida/SRRUELFU3/Acanthaceae_Ruellia_fulgida_SRRUELFU3_003.jpg
individual_002,view_04,2026_data/blind_human_annotation_set/images/individual_002/view_04.jpg,Acanthaceae_Ruellia_fulgida_SRRUELFU3_004.jpg,2026_data/human_annotated_eval_set/by_family/Acanthaceae/by_genus/Ruellia/by_species/fulgida/SRRUELFU3/Acanthaceae_Ruellia_fulgida_SRRUELFU3_004.jpg,2026_data/sorted_12K/training/by_family/Acanthaceae/by_genus/Ruellia/by_species/fulgida/SRRUELFU3/Acanthaceae_Ruellia_fulgida_SRRUELFU3_004.jpg
individual_002,view_05,2026_data/blind_human_annotation_set/images/individual_002/view_05.jpg,Acanthaceae_Ruellia_fulgida_SRRUELFU3_005.jpg,2026_data/human_annotated_eval_set/by_family/Acanthaceae/by_genus/Ruellia/by_species/fulgida/SRRUELFU3/Acanthaceae_Ruellia_fulgida_SRRUELFU3_005.jpg,2026_data/sorted_12K/training/by_family/Acanthaceae/by_genus/Ruellia/by_species/fulgida/SRRUELFU3/Acanthaceae_Ruellia_fulgida_SRRUELFU3_005.jpg
individual_003,view_01,2026_data/blind_human_annotation_set/images/individual_003/view_01.jpg,Achariaceae_Lindackeria_laurina_ANLINDLA8_001.jpg,2026_data/human_annotated_eval_set/by_family/Achariaceae/by_genus/Lindackeria/by_species/laurina/ANLINDLA8/Achariaceae_Lindackeria_laurina_ANLINDLA8_001.jpg,2026_data/sorted_12K/training/by_family/Achariaceae/by_genus/Lindackeria/by_species/laurina/ANLINDLA8/Achariaceae_Lindackeria_laurina_ANLINDLA8_001.jpg
individual_003,view_02,2026_data/blind_human_annotation_set/images/individual_003/view_02.jpg,Achariaceae_Lindackeria_laurina_ANLINDLA8_002.jpg,2026_data/human_annotated_eval_set/by_family/Achariaceae/by_genus/Lindackeria/by_species/laurina/ANLINDLA8/Achariaceae_Lindackeria_laurina_ANLINDLA8_002.jpg,2026_data/sorted_12K/training/by_family/Achariaceae/by_genus/Lindackeria/by_species/laurina/ANLINDLA8/Achariaceae_Lindackeria_laurina_ANLINDLA8_002.jpg
individual_003,view_03,2026_data/blind_human_annotation_set/images/individual_003/view_03.jpg,Achariaceae_Lindackeria_laurina_ANLINDLA8_003.jpg,2026_data/human_annotated_eval_set/by_family/Achariaceae/by_genus/Lindackeria/by_species/laurina/ANLINDLA8/Achariaceae_Lindackeria_laurina_ANLINDLA8_003.jpg,2026_data/sorted_12K/training/by_family/Achariaceae/by_genus/Lindackeria/by_species/laurina/ANLINDLA8/Achariaceae_Lindackeria_laurina_ANLINDLA8_003.jpg
individual_003,view_04,2026_data/blind_human_annotation_set/images/individual_003/view_04.jpg,Achariaceae_Lindackeria_laurina_ANLINDLA8_004.jpg,2026_data/human_annotated_eval_set/by_family/Achariaceae/by_genus/Lindackeria/by_species/laurina/ANLINDLA8/Achariaceae_Lindackeria_laurina_ANLINDLA8_004.jpg,2026_data/sorted_12K/training/by_family/Achariaceae/by_genus/Lindackeria/by_species/laurina/ANLINDLA8/Achariaceae_Lindackeria_laurina_ANLINDLA8_004.jpg
individual_004,view_01,2026_data/blind_human_annotation_set/images/individual_004/view_01.jpg,Anacardiaceae_Anacardium_excelsum_OLANACEX4_001.jpg,2026_data/human_annotated_eval_set/by_family/Anacardiaceae/by_genus/Anacardium/by_species/excelsum/OLANACEX4/Anacardiaceae_Anacardium_excelsum_OLANACEX4_001.jpg,2026_data/sorted_12K/training/by_family/Anacardiaceae/by_genus/Anacardium/by_species/excelsum/OLANACEX4/Anacardiaceae_Anacardium_excelsum_OLANACEX4_001.jpg
individual_004,view_02,2026_data/blind_human_annotation_set/images/individual_004/view_02.jpg,Anacardiaceae_Anacardium_excelsum_OLANACEX4_002.jpg,2026_data/human_annotated_eval_set/by_family/Anacardiaceae/by_genus/Anacardium/by_species/excelsum/OLANACEX4/Anacardiaceae_Anacardium_excelsum_OLANACEX4_002.jpg,2026_data/sorted_12K/training/by_family/Anacardiaceae/by_genus/Anacardium/by_species/excelsum/OLANACEX4/Anacardiaceae_Anacardium_excelsum_OLANACEX4_002.jpg
individual_004,view_03,2026_data/blind_human_annotation_set/images/individual_004/view_03.jpg,Anacardiaceae_Anacardium_excelsum_OLANACEX4_003.jpg,2026_data/human_annotated_eval_set/by_family/Anacardiaceae/by_genus/Anacardium/by_species/excelsum/OLANACEX4/Anacardiaceae_Anacardium_excelsum_OLANACEX4_003.jpg,2026_data/sorted_12K/training/by_family/Anacardiaceae/by_genus/Anacardium/by_species/excelsum/OLANACEX4/Anacardiaceae_Anacardium_excelsum_OLANACEX4_003.jpg
individual_004,view_04,2026_data/blind_human_annotation_set/images/individual_004/view_04.jpg,Anacardiaceae_Anacardium_excelsum_OLANACEX4_004.jpg,2026_data/human_annotated_eval_set/by_family/Anacardiaceae/by_genus/Anacardium/by_species/excelsum/OLANACEX4/Anacardiaceae_Anacardium_excelsum_OLANACEX4_004.jpg,2026_data/sorted_12K/training/by_family/Anacardiaceae/by_genus/Anacardium/by_species/excelsum/OLANACEX4/Anacardiaceae_Anacardium_excelsum_OLANACEX4_004.jpg
individual_004,view_05,2026_data/blind_human_annotation_set/images/individual_004/view_05.jpg,Anacardiaceae_Anacardium_excelsum_OLANACEX4_005.jpg,2026_data/human_annotated_eval_set/by_family/Anacardiaceae/by_genus/Anacardium/by_species/excelsum/OLANACEX4/Anacardiaceae_Anacardium_excelsum_OLANACEX4_005.jpg,2026_data/sorted_12K/training/by_family/Anacardiaceae/by_genus/Anacardium/by_species/excelsum/OLANACEX4/Anacardiaceae_Anacardium_excelsum_OLANACEX4_005.jpg
individual_005,view_01,2026_data/blind_human_annotation_set/images/individual_005/view_01.jpg,Anacardiaceae_Tapirira_guianensis_SHTAPIGU7_001.jpg,2026_data/human_annotated_eval_set/by_family/Anacardiaceae/by_genus/Tapirira/by_species/guianensis/SHTAPIGU7/Anacardiaceae_Tapirira_guianensis_SHTAPIGU7_001.jpg,2026_data/sorted_12K/training/by_family/Anacardiaceae/by_genus/Tapirira/by_species/guianensis/SHTAPIGU7/Anacardiaceae_Tapirira_guianensis_SHTAPIGU7_001.jpg
individual_005,view_02,2026_data/blind_human_annotation_set/images/individual_005/view_02.jpg,Anacardiaceae_Tapirira_guianensis_SHTAPIGU7_002.jpg,2026_data/human_annotated_eval_set/by_family/Anacardiaceae/by_genus/Tapirira/by_species/guianensis/SHTAPIGU7/Anacardiaceae_Tapirira_guianensis_SHTAPIGU7_002.jpg,2026_data/sorted_12K/training/by_family/Anacardiaceae/by_genus/Tapirira/by_species/guianensis/SHTAPIGU7/Anacardiaceae_Tapirira_guianensis_SHTAPIGU7_002.jpg
individual_005,view_03,2026_data/blind_human_annotation_set/images/individual_005/view_03.jpg,Anacardiaceae_Tapirira_guianensis_SHTAPIGU7_003.jpg,2026_data/human_annotated_eval_set/by_family/Anacardiaceae/by_genus/Tapirira/by_species/guianensis/SHTAPIGU7/Anacardiaceae_Tapirira_guianensis_SHTAPIGU7_003.jpg,2026_data/sorted_12K/training/by_family/Anacardiaceae/by_genus/Tapirira/by_species/guianensis/SHTAPIGU7/Anacardiaceae_Tapirira_guianensis_SHTAPIGU7_003.jpg
individual_005,view_04,2026_data/blind_human_annotation_set/images/individual_005/view_04.jpg,Anacardiaceae_Tapirira_guianensis_SHTAPIGU7_004.jpg,2026_data/human_annotated_eval_set/by_family/Anacardiaceae/by_genus/Tapirira/by_species/guianensis/SHTAPIGU7/Anacardiaceae_Tapirira_guianensis_SHTAPIGU7_004.jpg,2026_data/sorted_12K/training/by_family/Anacardiaceae/by_genus/Tapirira/by_species/guianensis/SHTAPIGU7/Anacardiaceae_Tapirira_guianensis_SHTAPIGU7_004.jpg
individual_005,view_05,2026_data/blind_human_annotation_set/images/individual_005/view_05.jpg,Anacardiaceae_Tapirira_guianensis_SHTAPIGU7_005.jpg,2026_data/human_annotated_eval_set/by_family/Anacardiaceae/by_genus/Tapirira/by_species/guianensis/SHTAPIGU7/Anacardiaceae_Tapirira_guianensis_SHTAPIGU7_005.jpg,2026_data/sorted_12K/training/by_family/Anacardiaceae/by_genus/Tapirira/by_species/guianensis/SHTAPIGU7/Anacardiaceae_Tapirira_guianensis_SHTAPIGU7_005.jpg
individual_006,view_01,2026_data/blind_human_annotation_set/images/individual_006/view_01.jpg,Annonaceae_Anaxagorea_allenii_SRANAXAL1_001.jpg,2026_data/human_annotated_eval_set/by_family/Annonaceae/by_genus/Anaxagorea/by_species/allenii/SRANAXAL1/Annonaceae_Anaxagorea_allenii_SRANAXAL1_001.jpg,2026_data/sorted_12K/training/by_family/Annonaceae/by_genus/Anaxagorea/by_species/allenii/SRANAXAL1/Annonaceae_Anaxagorea_allenii_SRANAXAL1_001.jpg
individual_006,view_02,2026_data/blind_human_annotation_set/images/individual_006/view_02.jpg,Annonaceae_Anaxagorea_allenii_SRANAXAL1_002.jpg,2026_data/human_annotated_eval_set/by_family/Annonaceae/by_genus/Anaxagorea/by_species/allenii/SRANAXAL1/Annonaceae_Anaxagorea_allenii_SRANAXAL1_002.jpg,2026_data/sorted_12K/training/by_family/Annonaceae/by_genus/Anaxagorea/by_species/allenii/SRANAXAL1/Annonaceae_Anaxagorea_allenii_SRANAXAL1_002.jpg
individual_006,view_03,2026_data/blind_human_annotation_set/images/individual_006/view_03.jpg,Annonaceae_Anaxagorea_allenii_SRANAXAL1_003.jpg,2026_data/human_annotated_eval_set/by_family/Annonaceae/by_genus/Anaxagorea/by_species/allenii/SRANAXAL1/Annonaceae_Anaxagorea_allenii_SRANAXAL1_003.jpg,2026_data/sorted_12K/training/by_family/Annonaceae/by_genus/Anaxagorea/by_species/allenii/SRANAXAL1/Annonaceae_Anaxagorea_allenii_SRANAXAL1_003.jpg
individual_006,view_04,2026_data/blind_human_annotation_set/images/individual_006/view_04.jpg,Annonaceae_Anaxagorea_allenii_SRANAXAL1_004.jpg,2026_data/human_annotated_eval_set/by_family/Annonaceae/by_genus/Anaxagorea/by_species/allenii/SRANAXAL1/Annonaceae_Anaxagorea_allenii_SRANAXAL1_004.jpg,2026_data/sorted_12K/training/by_family/Annonaceae/by_genus/Anaxagorea/by_species/allenii/SRANAXAL1/Annonaceae_Anaxagorea_allenii_SRANAXAL1_004.jpg
individual_006,view_05,2026_data/blind_human_annotation_set/images/individual_006/view_05.jpg,Annonaceae_Anaxagorea_allenii_SRANAXAL1_005.jpg,2026_data/human_annotated_eval_set/by_family/Annonaceae/by_genus/Anaxagorea/by_species/allenii/SRANAXAL1/Annonaceae_Anaxagorea_allenii_SRANAXAL1_005.jpg,2026_data/sorted_12K/training/by_family/Annonaceae/by_genus/Anaxagorea/by_species/allenii/SRANAXAL1/Annonaceae_Anaxagorea_allenii_SRANAXAL1_005.jpg
individual_007,view_01,2026_data/blind_human_annotation_set/images/individual_007/view_01.jpg,Annonaceae_Annona_hayesii_CHANNOHA10_001.jpg,2026_data/human_annotated_eval_set/by_family/Annonaceae/by_genus/Annona/by_species/hayesii/CHANNOHA10/Annonaceae_Annona_hayesii_CHANNOHA10_001.jpg,2026_data/sorted_12K/training/by_family/Annonaceae/by_genus/Annona/by_species/hayesii/CHANNOHA10/Annonaceae_Annona_hayesii_CHANNOHA10_001.jpg
individual_007,view_02,2026_data/blind_human_annotation_set/images/individual_007/view_02.jpg,Annonaceae_Annona_hayesii_CHANNOHA10_002.jpg,2026_data/human_annotated_eval_set/by_family/Annonaceae/by_genus/Annona/by_species/hayesii/CHANNOHA10/Annonaceae_Annona_hayesii_CHANNOHA10_002.jpg,2026_data/sorted_12K/training/by_family/Annonaceae/by_genus/Annona/by_species/hayesii/CHANNOHA10/Annonaceae_Annona_hayesii_CHANNOHA10_002.jpg
individual_007,view_03,2026_data/blind_human_annotation_set/images/individual_007/view_03.jpg,Annonaceae_Annona_hayesii_CHANNOHA10_003.jpg,2026_data/human_annotated_eval_set/by_family/Annonaceae/by_genus/Annona/by_species/hayesii/CHANNOHA10/Annonaceae_Annona_hayesii_CHANNOHA10_003.jpg,2026_data/sorted_12K/training/by_family/Annonaceae/by_genus/Annona/by_species/hayesii/CHANNOHA10/Annonaceae_Annona_hayesii_CHANNOHA10_003.jpg
individual_007,view_04,2026_data/blind_human_annotation_set/images/individual_007/view_04.jpg,Annonaceae_Annona_hayesii_CHANNOHA10_004.jpg,2026_data/human_annotated_eval_set/by_family/Annonaceae/by_genus/Annona/by_species/hayesii/CHANNOHA10/Annonaceae_Annona_hayesii_CHANNOHA10_004.jpg,2026_data/sorted_12K/training/by_family/Annonaceae/by_genus/Annona/by_species/hayesii/CHANNOHA10/Annonaceae_Annona_hayesii_CHANNOHA10_004.jpg
individual_007,view_05,2026_data/blind_human_annotation_set/images/individual_007/view_05.jpg,Annonaceae_Annona_hayesii_CHANNOHA10_005.jpg,2026_data/human_annotated_eval_set/by_family/Annonaceae/by_genus/Annona/by_species/hayesii/CHANNOHA10/Annonaceae_Annona_hayesii_CHANNOHA10_005.jpg,2026_data/sorted_12K/training/by_family/Annonaceae/by_genus/Annona/by_species/hayesii/CHANNOHA10/Annonaceae_Annona_hayesii_CHANNOHA10_005.jpg
individual_008,view_01,2026_data/blind_human_annotation_set/images/individual_008/view_01.jpg,Annonaceae_Cremastosperma_panamense_SHCREMPA5_001.jpg,2026_data/human_annotated_eval_set/by_family/Annonaceae/by_genus/Cremastosperma/by_species/panamense/SHCREMPA5/Annonaceae_Cremastosperma_panamense_SHCREMPA5_001.jpg,2026_data/sorted_12K/training/by_family/Annonaceae/by_genus/Cremastosperma/by_species/panamense/SHCREMPA5/Annonaceae_Cremastosperma_panamense_SHCREMPA5_001.jpg
individual_008,view_02,2026_data/blind_human_annotation_set/images/individual_008/view_02.jpg,Annonaceae_Cremastosperma_panamense_SHCREMPA5_002.jpg,2026_data/human_annotated_eval_set/by_family/Annonaceae/by_genus/Cremastosperma/by_species/panamense/SHCREMPA5/Annonaceae_Cremastosperma_panamense_SHCREMPA5_002.jpg,2026_data/sorted_12K/training/by_family/Annonaceae/by_genus/Cremastosperma/by_species/panamense/SHCREMPA5/Annonaceae_Cremastosperma_panamense_SHCREMPA5_002.jpg
individual_008,view_03,2026_data/blind_human_annotation_set/images/individual_008/view_03.jpg,Annonaceae_Cremastosperma_panamense_SHCREMPA5_003.jpg,2026_data/human_annotated_eval_set/by_family/Annonaceae/by_genus/Cremastosperma/by_species/panamense/SHCREMPA5/Annonaceae_Cremastosperma_panamense_SHCREMPA5_003.jpg,2026_data/sorted_12K/training/by_family/Annonaceae/by_genus/Cremastosperma/by_species/panamense/SHCREMPA5/Annonaceae_Cremastosperma_panamense_SHCREMPA5_003.jpg
individual_008,view_04,2026_data/blind_human_annotation_set/images/individual_008/view_04.jpg,Annonaceae_Cremastosperma_panamense_SHCREMPA5_004.jpg,2026_data/human_annotated_eval_set/by_family/Annonaceae/by_genus/Cremastosperma/by_species/panamense/SHCREMPA5/Annonaceae_Cremastosperma_panamense_SHCREMPA5_004.jpg,2026_data/sorted_12K/training/by_family/Annonaceae/by_genus/Cremastosperma/by_species/panamense/SHCREMPA5/Annonaceae_Cremastosperma_panamense_SHCREMPA5_004.jpg
individual_008,view_05,2026_data/blind_human_annotation_set/images/individual_008/view_05.jpg,Annonaceae_Cremastosperma_panamense_SHCREMPA5_005.jpg,2026_data/human_annotated_eval_set/by_family/Annonaceae/by_genus/Cremastosperma/by_species/panamense/SHCREMPA5/Annonaceae_Cremastosperma_panamense_SHCREMPA5_005.jpg,2026_data/sorted_12K/training/by_family/Annonaceae/by_genus/Cremastosperma/by_species/panamense/SHCREMPA5/Annonaceae_Cremastosperma_panamense_SHCREMPA5_005.jpg
individual_009,view_01,2026_data/blind_human_annotation_set/images/individual_009/view_01.jpg,Annonaceae_Desmopsis_panamensis_PEA0147_001.jpg,2026_data/human_annotated_eval_set/by_family/Annonaceae/by_genus/Desmopsis/by_species/panamensis/PEA0147/Annonaceae_Desmopsis_panamensis_PEA0147_001.jpg,2026_data/sorted_12K/training/by_family/Annonaceae/by_genus/Desmopsis/by_species/panamensis/PEA0147/Annonaceae_Desmopsis_panamensis_PEA0147_001.jpg
individual_009,view_02,2026_data/blind_human_annotation_set/images/individual_009/view_02.jpg,Annonaceae_Desmopsis_panamensis_PEA0147_002.jpg,2026_data/human_annotated_eval_set/by_family/Annonaceae/by_genus/Desmopsis/by_species/panamensis/PEA0147/Annonaceae_Desmopsis_panamensis_PEA0147_002.jpg,2026_data/sorted_12K/training/by_family/Annonaceae/by_genus/Desmopsis/by_species/panamensis/PEA0147/Annonaceae_Desmopsis_panamensis_PEA0147_002.jpg
individual_009,view_03,2026_data/blind_human_annotation_set/images/individual_009/view_03.jpg,Annonaceae_Desmopsis_panamensis_PEA0147_003.jpg,2026_data/human_annotated_eval_set/by_family/Annonaceae/by_genus/Desmopsis/by_species/panamensis/PEA0147/Annonaceae_Desmopsis_panamensis_PEA0147_003.jpg,2026_data/sorted_12K/training/by_family/Annonaceae/by_genus/Desmopsis/by_species/panamensis/PEA0147/Annonaceae_Desmopsis_panamensis_PEA0147_003.jpg
individual_009,view_04,2026_data/blind_human_annotation_set/images/individual_009/view_04.jpg,Annonaceae_Desmopsis_panamensis_PEA0147_004.jpg,2026_data/human_annotated_eval_set/by_family/Annonaceae/by_genus/Desmopsis/by_species/panamensis/PEA0147/Annonaceae_Desmopsis_panamensis_PEA0147_004.jpg,2026_data/sorted_12K/training/by_family/Annonaceae/by_genus/Desmopsis/by_species/panamensis/PEA0147/Annonaceae_Desmopsis_panamensis_PEA0147_004.jpg
individual_009,view_05,2026_data/blind_human_annotation_set/images/individual_009/view_05.jpg,Annonaceae_Desmopsis_panamensis_PEA0147_005.jpg,2026_data/human_annotated_eval_set/by_family/Annonaceae/by_genus/Desmopsis/by_species/panamensis/PEA0147/Annonaceae_Desmopsis_panamensis_PEA0147_005.jpg,2026_data/sorted_12K/training/by_family/Annonaceae/by_genus/Desmopsis/by_species/panamensis/PEA0147/Annonaceae_Desmopsis_panamensis_PEA0147_005.jpg
individual_010,view_01,2026_data/blind_human_annotation_set/images/individual_010/view_01.jpg,Annonaceae_Guatteria_amplifolia_BVGUATAM5_001.jpg,2026_data/human_annotated_eval_set/by_family/Annonaceae/by_genus/Guatteria/by_species/amplifolia/BVGUATAM5/Annonaceae_Guatteria_amplifolia_BVGUATAM5_001.jpg,2026_data/sorted_12K/training/by_family/Annonaceae/by_genus/Guatteria/by_species/amplifolia/BVGUATAM5/Annonaceae_Guatteria_amplifolia_BVGUATAM5_001.jpg
individual_010,view_02,2026_data/blind_human_annotation_set/images/individual_010/view_02.jpg,Annonaceae_Guatteria_amplifolia_BVGUATAM5_002.jpg,2026_data/human_annotated_eval_set/by_family/Annonaceae/by_genus/Guatteria/by_species/amplifolia/BVGUATAM5/Annonaceae_Guatteria_amplifolia_BVGUATAM5_002.jpg,2026_data/sorted_12K/training/by_family/Annonaceae/by_genus/Guatteria/by_species/amplifolia/BVGUATAM5/Annonaceae_Guatteria_amplifolia_BVGUATAM5_002.jpg
individual_010,view_03,2026_data/blind_human_annotation_set/images/individual_010/view_03.jpg,Annonaceae_Guatteria_amplifolia_BVGUATAM5_003.jpg,2026_data/human_annotated_eval_set/by_family/Annonaceae/by_genus/Guatteria/by_species/amplifolia/BVGUATAM5/Annonaceae_Guatteria_amplifolia_BVGUATAM5_003.jpg,2026_data/sorted_12K/training/by_family/Annonaceae/by_genus/Guatteria/by_species/amplifolia/BVGUATAM5/Annonaceae_Guatteria_amplifolia_BVGUATAM5_003.jpg
individual_010,view_04,2026_data/blind_human_annotation_set/images/individual_010/view_04.jpg,Annonaceae_Guatteria_amplifolia_BVGUATAM5_004.jpg,2026_data/human_annotated_eval_set/by_family/Annonaceae/by_genus/Guatteria/by_species/amplifolia/BVGUATAM5/Annonaceae_Guatteria_amplifolia_BVGUATAM5_004.jpg,2026_data/sorted_12K/training/by_family/Annonaceae/by_genus/Guatteria/by_species/amplifolia/BVGUATAM5/Annonaceae_Guatteria_amplifolia_BVGUATAM5_004.jpg
individual_010,view_05,2026_data/blind_human_annotation_set/images/individual_010/view_05.jpg,Annonaceae_Guatteria_amplifolia_BVGUATAM5_005.jpg,2026_data/human_annotated_eval_set/by_family/Annonaceae/by_genus/Guatteria/by_species/amplifolia/BVGUATAM5/Annonaceae_Guatteria_amplifolia_BVGUATAM5_005.jpg,2026_data/sorted_12K/training/by_family/Annonaceae/by_genus/Guatteria/by_species/amplifolia/BVGUATAM5/Annonaceae_Guatteria_amplifolia_BVGUATAM5_005.jpg
