anonymous_id,specimen_id,annotator,trait_key,mode,n_views,n_present,per_view_values
individual_001,SRAPHEDE2,roni,leaf_relative_position,opposite,5,5,opuesta | opuesta | opuesta | opuesta | opuesta
individual_001,SRAPHEDE2,roni,leaf_spacing,clustered,5,5,agrupadas | agrupadas | agrupadas | agrupadas | agrupadas
individual_001,SRAPHEDE2,roni,leaf_complexity_type,simple,5,5,simple | simple | simple | simple | simple
individual_001,SRAPHEDE2,roni,compound_leaf_type,__missing__,5,0,N/A | N/A | N/A | N/A | N/A
individual_001,SRAPHEDE2,roni,leaflet_arrangement,__missing__,5,0,N/A | N/A | N/A | N/A | N/A
individual_001,SRAPHEDE2,roni,leaf_margin,entire,5,5,entero | entero | entero | entero | entero
individual_001,SRAPHEDE2,roni,leaf_shape,lanceolate,5,5,lanceolada | lanceolada | lanceolada | lanceolada | lanceolada
individual_001,SRAPHEDE2,roni,leaf_apex,acute,5,5,agudo | agudo | agudo | agudo | agudo
individual_001,SRAPHEDE2,roni,leaf_base,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_001,SRAPHEDE2,roni,venation,pinnate,5,5,pinnada | pinnada | pinnada | pinnada | pinnada
individual_001,SRAPHEDE2,roni,leaf_trichomes,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_001,SRAPHEDE2,roni,petiole_length,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_001,SRAPHEDE2,roni,petiole_features,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_001,SRAPHEDE2,roni,stem_type,woody,5,2,no visible | lenoso | no visible | no visible | lenoso
individual_001,SRAPHEDE2,roni,stem_trichomes,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_001,SRAPHEDE2,roni,stem_texture,smooth,5,2,no visible | lisa | no visible | no visible | lisa
individual_001,SRAPHEDE2,roni,stipules,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_001,SRAPHEDE2,roni,latex,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_001,SRAPHEDE2,roni,pulvinus,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_001,SRAPHEDE2,roni,tendrils,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_001,SRAPHEDE2,roni,damage,present,5,5,presente | presente | presente | presente | presente
individual_002,SRRUELFU3,roni,leaf_relative_position,opposite,5,5,opuesta | opuesta | opuesta | opuesta | opuesta
individual_002,SRRUELFU3,roni,leaf_spacing,distal,5,2,no visible | no visible | distales | no visible | distales
individual_002,SRRUELFU3,roni,leaf_complexity_type,simple,5,5,simple | simple | simple | simple | simple
individual_002,SRRUELFU3,roni,compound_leaf_type,__missing__,5,0,N/A | N/A | N/A | N/A | N/A
individual_002,SRRUELFU3,roni,leaflet_arrangement,__missing__,5,0,N/A | N/A | N/A | N/A | N/A
individual_002,SRRUELFU3,roni,leaf_margin,toothed,5,5,dentado | dentado | dentado | dentado | dentado
individual_002,SRRUELFU3,roni,leaf_shape,elliptic,5,5,eliptica | eliptica | eliptica | eliptica | eliptica
individual_002,SRRUELFU3,roni,leaf_apex,acute,5,5,agudo | agudo | agudo | agudo | agudo
individual_002,SRRUELFU3,roni,leaf_base,rounded,5,5,redondeada | redondeada | redondeada | redondeada | redondeada
individual_002,SRRUELFU3,roni,venation,pinnate,5,5,pinnada | pinnada | pinnada | pinnada | pinnada
individual_002,SRRUELFU3,roni,leaf_trichomes,absent,5,5,ausentes | ausentes | ausentes | ausentes | ausentes
individual_002,SRRUELFU3,roni,petiole_length,short,5,1,no visible | no visible | no visible | no visible | corto
individual_002,SRRUELFU3,roni,petiole_features,terete,5,1,no visible | no visible | no visible | no visible | terete
individual_002,SRRUELFU3,roni,stem_type,woody,5,3,no visible | lenoso | lenoso | no visible | lenoso
individual_002,SRRUELFU3,roni,stem_trichomes,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_002,SRRUELFU3,roni,stem_texture,smooth,5,1,no visible | no visible | no visible | no visible | lisa
individual_002,SRRUELFU3,roni,stipules,absent,5,1,no visible | no visible | no visible | no visible | ausentes
individual_002,SRRUELFU3,roni,latex,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_002,SRRUELFU3,roni,pulvinus,absent,5,1,no visible | no visible | no visible | no visible | ausente
individual_002,SRRUELFU3,roni,tendrils,absent,5,1,no visible | no visible | no visible | no visible | ausente
individual_002,SRRUELFU3,roni,damage,present,5,5,presente | presente | presente | presente | presente
individual_003,ANLINDLA8,roni,leaf_relative_position,alternate,4,3,no visible | alterna | alterna | alterna
individual_003,ANLINDLA8,roni,leaf_spacing,distal,4,2,no visible | distales | distales | no visible
individual_003,ANLINDLA8,roni,leaf_complexity_type,simple,4,4,simple | simple | simple | simple
individual_003,ANLINDLA8,roni,compound_leaf_type,__missing__,4,0,N/A | N/A | N/A | N/A
individual_003,ANLINDLA8,roni,leaflet_arrangement,__missing__,4,0,N/A | N/A | N/A | N/A
individual_003,ANLINDLA8,roni,leaf_margin,entire,4,4,entero | entero | entero | entero
individual_003,ANLINDLA8,roni,leaf_shape,lanceolate,4,4,lanceolada | lanceolada | lanceolada | lanceolada
individual_003,ANLINDLA8,roni,leaf_apex,acute,4,4,agudo | agudo | agudo | agudo
individual_003,ANLINDLA8,roni,leaf_base,rounded,4,4,redondeada | redondeada | redondeada | redondeada
individual_003,ANLINDLA8,roni,venation,pinnate,4,4,pinnada | pinnada | pinnada | pinnada
individual_003,ANLINDLA8,roni,leaf_trichomes,absent,4,4,ausentes | ausentes | ausentes | ausentes
individual_003,ANLINDLA8,roni,petiole_length,long,4,3,no visible | largo | largo | largo
individual_003,ANLINDLA8,roni,petiole_features,terete,4,3,no visible | terete | terete | terete
individual_003,ANLINDLA8,roni,stem_type,woody,4,3,no visible | lenoso | lenoso | lenoso
individual_003,ANLINDLA8,roni,stem_trichomes,__missing__,4,0,no visible | no visible | no visible | no visible
individual_003,ANLINDLA8,roni,stem_texture,smooth,4,3,no visible | lisa | lisa | lisa
individual_003,ANLINDLA8,roni,stipules,__missing__,4,0,no visible | no visible | no visible | no visible
individual_003,ANLINDLA8,roni,latex,__missing__,4,0,no visible | no visible | no visible | no visible
individual_003,ANLINDLA8,roni,pulvinus,present,4,3,no visible | basal y apical | basal y apical | basal y apical
individual_003,ANLINDLA8,roni,tendrils,__missing__,4,0,no visible | no visible | no visible | no visible
individual_003,ANLINDLA8,roni,damage,present,4,4,presente | presente | presente | presente
individual_004,OLANACEX4,roni,leaf_relative_position,opposite,5,2,no visible | no visible | no visible | opuesta | opuesta
