anonymous_id,specimen_id,annotator,true_family,true_genus,true_species,pred_family,pred_genus,pred_species,family_correct,genus_correct,species_correct,family_corrected,genus_corrected,species_corrected,correction_category
individual_001,SRAPHEDE2,roni,Acanthaceae,Aphelandra,scabra,Acanthaceae,Aphelandra,scabra,1,1,1,1,1,1,
individual_002,SRRUELFU3,roni,Acanthaceae,Ruellia,fulgida,Acanthaceae,Ruellia,fulgida,1,1,1,1,1,1,
individual_003,ANLINDLA8,roni,Achariaceae,Lindackeria,laurina,Achariaceae,lindackeria,laurina,1,1,1,1,1,1,
individual_004,OLANACEX4,roni,Anacardiaceae,Anacardium,excelsum,Anacardiaceae,anacardium,excelsum,1,1,1,1,1,1,
individual_005,SHTAPIGU7,roni,Anacardiaceae,Tapirira,guianensis,Anacardiaceae,tapirira,guianensis,1,1,1,1,1,1,
individual_006,SRANAXAL1,roni,Annonaceae,Anaxagorea,allenii,annonaceae,anaxagorea,allenii,1,1,1,1,1,1,
individual_007,CHANNOHA10,roni,Annonaceae,Annona,hayesii,annonaceae,annona,hayessi,1,1,0,1,1,1,typo
individual_008,SHCREMPA5,roni,Annonaceae,Cremastosperma,panamense,annonaceae,cremastosperma,panamense,1,1,1,1,1,1,
individual_009,PEA0147,roni,Annonaceae,Desmopsis,panamensis,annonaceae,desmopsis,panamenis,1,1,0,1,1,1,typo
individual_010,BVGUATAM5,roni,Annonaceae,Guatteria,amplifolia,annonaceae,guatteria,specie a,1,1,0,1,1,0,
individual_011,OLOXANLO5,roni,Annonaceae,Oxandra,longipetala,annonaceae,oxandra,longipetala,1,1,1,1,1,1,
individual_012,SHASPICR4,roni,Apocynaceae,Aspidosperma,desmanthum,Apocynaceae,Aspidosperma,desmantum,1,1,0,1,1,1,typo
individual_013,CHFORSVI6,roni,Apocynaceae,Forsteronia,acouci,Apocynaceae,Fosteronia,acouci,1,0,1,1,1,1,typo
individual_014,SRTAB2UN5,roni,Apocynaceae,Tabernaemontana,undulata,Apocynaceae,Tabernaemontana,undulata,1,1,1,1,1,1,
individual_015,CHPHRYCO10,roni,Bignoniaceae,Bignonia,corymbosa,Bignoniaceae,Bignonia,corymbosa,1,1,1,1,1,1,
