trait_key,axis,n_compared,n_agree,agreement_rate,cohen_kappa
leaf_relative_position,model_vs_roni,110,37,0.336,0.064
leaf_spacing,model_vs_roni,107,60,0.561,0.164
leaf_complexity_type,model_vs_roni,112,103,0.920,0.741
compound_leaf_type,model_vs_roni,17,12,0.706,-0.049
leaflet_arrangement,model_vs_roni,17,4,0.235,-0.094
leaf_margin,model_vs_roni,97,81,0.835,0.000
leaf_shape,model_vs_roni,112,66,0.589,0.337
leaf_apex,model_vs_roni,114,46,0.404,-0.057
leaf_base,model_vs_roni,111,54,0.486,0.152
venation,model_vs_roni,108,102,0.944,-0.008
leaf_trichomes,model_vs_roni,90,85,0.944,0.419
petiole_length,model_vs_roni,111,83,0.748,0.157
petiole_features,model_vs_roni,86,76,0.884,0.000
stem_type,model_vs_roni,109,67,0.615,0.000
stem_trichomes,model_vs_roni,62,52,0.839,0.227
stem_texture,model_vs_roni,66,44,0.667,-0.078
stipules,model_vs_roni,66,43,0.652,0.000
latex,model_vs_roni,0,0,,
pulvinus,model_vs_roni,77,42,0.545,0.000
tendrils,model_vs_roni,100,98,0.980,0.000
damage,model_vs_roni,0,0,,
leaf_relative_position,model_vs_carmen,113,45,0.398,0.166
leaf_spacing,model_vs_carmen,112,56,0.500,0.136
leaf_complexity_type,model_vs_carmen,114,102,0.895,0.650
compound_leaf_type,model_vs_carmen,16,8,0.500,-0.058
leaflet_arrangement,model_vs_carmen,16,5,0.312,-0.035
leaf_margin,model_vs_carmen,94,86,0.915,0.000
leaf_shape,model_vs_carmen,112,67,0.598,0.333
leaf_apex,model_vs_carmen,114,53,0.465,0.021
leaf_base,model_vs_carmen,113,45,0.398,-0.034
venation,model_vs_carmen,113,111,0.982,-0.004
leaf_trichomes,model_vs_carmen,112,110,0.982,0.659
petiole_length,model_vs_carmen,108,67,0.620,0.093
petiole_features,model_vs_carmen,100,89,0.890,0.000
stem_type,model_vs_carmen,112,70,0.625,0.305
stem_trichomes,model_vs_carmen,100,91,0.910,0.260
stem_texture,model_vs_carmen,106,79,0.745,0.032
stipules,model_vs_carmen,101,45,0.446,0.000
latex,model_vs_carmen,0,0,,
pulvinus,model_vs_carmen,100,85,0.850,0.000
tendrils,model_vs_carmen,114,110,0.965,-0.018
damage,model_vs_carmen,0,0,,
leaf_relative_position,roni_vs_carmen,110,84,0.764,0.579
leaf_spacing,roni_vs_carmen,106,84,0.792,0.543
leaf_complexity_type,roni_vs_carmen,112,108,0.964,0.878
compound_leaf_type,roni_vs_carmen,21,18,0.857,0.674
leaflet_arrangement,roni_vs_carmen,21,20,0.952,0.829
leaf_margin,roni_vs_carmen,106,98,0.925,0.792
leaf_shape,roni_vs_carmen,113,50,0.442,0.162
leaf_apex,roni_vs_carmen,114,66,0.579,0.199
leaf_base,roni_vs_carmen,110,82,0.745,0.479
venation,roni_vs_carmen,108,104,0.963,0.323
leaf_trichomes,roni_vs_carmen,90,84,0.933,0.224
petiole_length,roni_vs_carmen,105,89,0.848,0.678
petiole_features,roni_vs_carmen,84,78,0.929,0.670
stem_type,roni_vs_carmen,109,35,0.321,0.000
stem_trichomes,roni_vs_carmen,55,48,0.873,0.394
stem_texture,roni_vs_carmen,63,51,0.810,0.333
stipules,roni_vs_carmen,62,33,0.532,0.176
latex,roni_vs_carmen,0,0,,
pulvinus,roni_vs_carmen,71,54,0.761,0.481
tendrils,roni_vs_carmen,100,98,0.980,0.000
damage,roni_vs_carmen,114,95,0.833,0.521
