trait,condition,model,axis,agreement_rate,cohen_kappa,n_compared,n_species,ceiling_kappa,roni_majority_frac,roni_distribution,trait_verdict
compound_leaf_type,C0_baseline,Qwen/Qwen3-VL-32B-Instruct-FP8,model_vs_roni,0.7647,0.0000,17,17,0.6736,0.7826,odd-pinnate:18;even-pinnate:5,at_human_level
damage,C0_baseline,Qwen/Qwen3-VL-32B-Instruct-FP8,model_vs_roni,,,0,0,0.5214,0.7544,present:86;absent:28,undecidable
latex,C0_baseline,Qwen/Qwen3-VL-32B-Instruct-FP8,model_vs_roni,,,0,0,,,,undecidable
leaf_apex,C0_baseline,Qwen/Qwen3-VL-32B-Instruct-FP8,model_vs_roni,0.4561,0.0614,114,114,0.1993,0.5175,acute:53;obtuse:2;acuminate:59,model_gap
leaf_base,C0_baseline,Qwen/Qwen3-VL-32B-Instruct-FP8,model_vs_roni,0.4775,0.1619,111,111,0.4797,0.6126,cuneate:68;rounded:24;cordate:19,model_gap
leaf_complexity_type,C0_baseline,Qwen/Qwen3-VL-32B-Instruct-FP8,model_vs_roni,0.9211,0.7421,114,114,0.8513,0.8158,simple:93;compound:21,model_gap
leaf_margin,C0_baseline,Qwen/Qwen3-VL-32B-Instruct-FP8,model_vs_roni,0.8304,0.4685,112,112,0.7955,0.7411,entire:83;toothed:29,model_gap
leaf_relative_position,C0_baseline,Qwen/Qwen3-VL-32B-Instruct-FP8,model_vs_roni,0.3273,0.0609,110,110,0.5793,0.6000,alternate:66;opposite:44,model_gap
leaf_shape,C0_baseline,Qwen/Qwen3-VL-32B-Instruct-FP8,model_vs_roni,0.6018,0.3549,113,113,0.1616,0.4825,elliptic:39;obovate:20;lanceolate:55,at_human_level
leaf_spacing,C0_baseline,Qwen/Qwen3-VL-32B-Instruct-FP8,model_vs_roni,0.5327,0.1195,107,107,0.5426,0.5888,clustered:44;distal:63,model_gap
leaf_trichomes,C0_baseline,Qwen/Qwen3-VL-32B-Instruct-FP8,model_vs_roni,0.9333,0.3662,90,90,0.2241,0.9333,present:6;absent:84,at_human_level
leaflet_arrangement,C0_baseline,Qwen/Qwen3-VL-32B-Instruct-FP8,model_vs_roni,0.2353,-0.0941,17,17,0.8293,0.8261,opposite:19;alternate:3;subopposite:1,model_gap
petiole_features,C0_baseline,Qwen/Qwen3-VL-32B-Instruct-FP8,model_vs_roni,0.8837,0.0000,86,86,0.6697,0.8837,winged:4;grooved:6;terete:76,model_gap
petiole_length,C0_baseline,Qwen/Qwen3-VL-32B-Instruct-FP8,model_vs_roni,0.7568,0.1760,111,111,0.6779,0.7207,short:80;long:31,model_gap
pulvinus,C0_baseline,Qwen/Qwen3-VL-32B-Instruct-FP8,model_vs_roni,0.5455,0.0000,77,77,0.4813,0.5455,present:35;absent:42,model_gap
stem_texture,C0_baseline,Qwen/Qwen3-VL-32B-Instruct-FP8,model_vs_roni,0.7273,0.0904,66,66,0.3333,0.7576,smooth:50;ridged:9;lenticellate:7,model_gap
stem_trichomes,C0_baseline,Qwen/Qwen3-VL-32B-Instruct-FP8,model_vs_roni,0.8548,0.3373,62,62,0.3937,0.8226,present:11;absent:51,at_human_level
stem_type,C0_baseline,Qwen/Qwen3-VL-32B-Instruct-FP8,model_vs_roni,0.5872,0.0000,109,109,0.0000,1.0000,woody:109,undecidable
stipules,C0_baseline,Qwen/Qwen3-VL-32B-Instruct-FP8,model_vs_roni,0.6667,0.0559,66,66,0.1760,0.6515,present:23;absent:43,at_human_level
tendrils,C0_baseline,Qwen/Qwen3-VL-32B-Instruct-FP8,model_vs_roni,0.9800,0.0000,100,100,0.0000,1.0000,absent:100,undecidable
venation,C0_baseline,Qwen/Qwen3-VL-32B-Instruct-FP8,model_vs_roni,0.9537,0.0000,108,108,0.3229,0.9537,pinnate:103;parallel:5,at_human_level
compound_leaf_type,C1_upgraded_model,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,0.7500,0.0000,20,20,0.6736,0.7826,odd-pinnate:18;even-pinnate:5,at_human_level
damage,C1_upgraded_model,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.5214,0.7544,present:86;absent:28,undecidable
latex,C1_upgraded_model,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,,,,undecidable
leaf_apex,C1_upgraded_model,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,0.5421,0.1073,107,107,0.1993,0.5175,acute:53;obtuse:2;acuminate:59,model_gap
leaf_base,C1_upgraded_model,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,0.5784,0.1887,102,102,0.4797,0.6126,cuneate:68;rounded:24;cordate:19,model_gap
leaf_complexity_type,C1_upgraded_model,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,0.8772,0.6550,114,114,0.8513,0.8158,simple:93;compound:21,model_gap
leaf_margin,C1_upgraded_model,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,0.8661,0.5914,112,112,0.7955,0.7411,entire:83;toothed:29,model_gap
leaf_relative_position,C1_upgraded_model,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,0.4091,0.0741,110,110,0.5793,0.6000,alternate:66;opposite:44,model_gap
leaf_shape,C1_upgraded_model,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,0.6596,0.4642,94,94,0.1616,0.4825,elliptic:39;obovate:20;lanceolate:55,at_human_level
leaf_spacing,C1_upgraded_model,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,0.4486,-0.0045,107,107,0.5426,0.5888,clustered:44;distal:63,model_gap
leaf_trichomes,C1_upgraded_model,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,0.9326,0.5357,89,89,0.2241,0.9333,present:6;absent:84,at_human_level
leaflet_arrangement,C1_upgraded_model,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,0.5000,0.1266,20,20,0.8293,0.8261,opposite:19;alternate:3;subopposite:1,model_gap
petiole_features,C1_upgraded_model,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,0.9048,0.1884,84,84,0.6697,0.8837,winged:4;grooved:6;terete:76,model_gap
petiole_length,C1_upgraded_model,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,0.7818,0.3714,110,110,0.6779,0.7207,short:80;long:31,model_gap
pulvinus,C1_upgraded_model,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,0.5890,0.0369,73,73,0.4813,0.5455,present:35;absent:42,model_gap
stem_texture,C1_upgraded_model,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,0.7692,0.0000,65,65,0.3333,0.7576,smooth:50;ridged:9;lenticellate:7,model_gap
stem_trichomes,C1_upgraded_model,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,0.8548,0.4431,62,62,0.3937,0.8226,present:11;absent:51,at_human_level
stem_type,C1_upgraded_model,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,0.4167,0.0000,108,108,0.0000,1.0000,woody:109,undecidable
stipules,C1_upgraded_model,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,0.7593,0.2452,54,54,0.1760,0.6515,present:23;absent:43,at_human_level
tendrils,C1_upgraded_model,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,1.0000,,100,100,0.0000,1.0000,absent:100,undecidable
venation,C1_upgraded_model,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,0.9352,0.1095,108,108,0.3229,0.9537,pinnate:103;parallel:5,at_human_level
compound_leaf_type,C2u_margin_only,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.6736,0.7826,odd-pinnate:18;even-pinnate:5,at_human_level
damage,C2u_margin_only,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.5214,0.7544,present:86;absent:28,undecidable
latex,C2u_margin_only,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,,,,undecidable
leaf_apex,C2u_margin_only,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.1993,0.5175,acute:53;obtuse:2;acuminate:59,model_gap
leaf_base,C2u_margin_only,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.4797,0.6126,cuneate:68;rounded:24;cordate:19,model_gap
leaf_complexity_type,C2u_margin_only,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.8513,0.8158,simple:93;compound:21,model_gap
leaf_margin,C2u_margin_only,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,0.8393,0.5161,112,112,0.7955,0.7411,entire:83;toothed:29,model_gap
leaf_relative_position,C2u_margin_only,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.5793,0.6000,alternate:66;opposite:44,model_gap
leaf_shape,C2u_margin_only,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.1616,0.4825,elliptic:39;obovate:20;lanceolate:55,at_human_level
leaf_spacing,C2u_margin_only,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.5426,0.5888,clustered:44;distal:63,model_gap
leaf_trichomes,C2u_margin_only,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.2241,0.9333,present:6;absent:84,at_human_level
leaflet_arrangement,C2u_margin_only,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.8293,0.8261,opposite:19;alternate:3;subopposite:1,model_gap
petiole_features,C2u_margin_only,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.6697,0.8837,winged:4;grooved:6;terete:76,model_gap
petiole_length,C2u_margin_only,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.6779,0.7207,short:80;long:31,model_gap
pulvinus,C2u_margin_only,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.4813,0.5455,present:35;absent:42,model_gap
stem_texture,C2u_margin_only,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.3333,0.7576,smooth:50;ridged:9;lenticellate:7,model_gap
stem_trichomes,C2u_margin_only,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.3937,0.8226,present:11;absent:51,at_human_level
stem_type,C2u_margin_only,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.0000,1.0000,woody:109,undecidable
stipules,C2u_margin_only,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.1760,0.6515,present:23;absent:43,at_human_level
tendrils,C2u_margin_only,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.0000,1.0000,absent:100,undecidable
venation,C2u_margin_only,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.3229,0.9537,pinnate:103;parallel:5,at_human_level
compound_leaf_type,C3u_margin_rich,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.6736,0.7826,odd-pinnate:18;even-pinnate:5,at_human_level
damage,C3u_margin_rich,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.5214,0.7544,present:86;absent:28,undecidable
latex,C3u_margin_rich,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,,,,undecidable
leaf_apex,C3u_margin_rich,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.1993,0.5175,acute:53;obtuse:2;acuminate:59,model_gap
leaf_base,C3u_margin_rich,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.4797,0.6126,cuneate:68;rounded:24;cordate:19,model_gap
leaf_complexity_type,C3u_margin_rich,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.8513,0.8158,simple:93;compound:21,model_gap
leaf_margin,C3u_margin_rich,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,0.8571,0.5807,112,112,0.7955,0.7411,entire:83;toothed:29,model_gap
leaf_relative_position,C3u_margin_rich,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.5793,0.6000,alternate:66;opposite:44,model_gap
